area,rank,title
Object detection,152,Generating Masks from Boxes by Mining Spatio-Temporal Consistencies in Videos
Object detection,153,Learning What to Learn for Video Object Segmentation
Object detection,154,Towards End-to-End Lane Detection: an Instance Segmentation Approach
Object detection,155,"DeepFashion2: A Versatile Benchmark for Detection, Pose Estimation, Segmentation and Re-Identification of Clothing Images"
Object detection,156,Recurrent Residual Convolutional Neural Network based on U-Net (R2U-Net) for Medical Image Segmentation
Object detection,157,Temporal RoI Align for Video Object Recognition
Object detection,158,Polarized Self-Attention: Towards High-quality Pixel-wise Regression
Object detection,159,VOLO: Vision Outlooker for Visual Recognition
Object detection,160,3D Semantic Segmentation with Submanifold Sparse Convolutional Networks
Object detection,161,UNet++: Redesigning Skip Connections to Exploit Multiscale Features in Image Segmentation
Object detection,162,ChainerCV: a Library for Deep Learning in Computer Vision
Object detection,163,Atlas: End-to-End 3D Scene Reconstruction from Posed Images
Object detection,164,What Makes for Good Views for Contrastive Learning?
Object detection,165,Improving Semantic Segmentation via Video Propagation and Label Relaxation
Object detection,166,4D Spatio-Temporal ConvNets: Minkowski Convolutional Neural Networks
Object detection,167,Rethinking Self-supervised Correspondence Learning: A Video Frame-level Similarity Perspective
Object detection,168,Learning a Discriminative Feature Network for Semantic Segmentation
Object detection,169,Conditional Random Fields as Recurrent Neural Networks
Object detection,170,Understanding Humans in Crowded Scenes: Deep Nested Adversarial Learning and A New Benchmark for Multi-Human Parsing
Object detection,171,Pose2Seg: Detection Free Human Instance Segmentation
Object detection,172,DLTK: State of the Art Reference Implementations for Deep Learning on Medical Images
Object detection,173,The Lovász-Softmax loss: A tractable surrogate for the optimization of the intersection-over-union measure in neural networks
Object detection,174,Optimal Transport for Multi-source Domain Adaptation under Target Shift
Object detection,175,PartNet: A Large-scale Benchmark for Fine-grained and Hierarchical Part-level 3D Object Understanding
Object detection,176,PointCNN: Convolution On X-Transformed Points
Object detection,177,In-Place Activated BatchNorm for Memory-Optimized Training of DNNs
Object detection,178,Autonomous Driving in Reality with Reinforcement Learning and Image Translation
Object detection,179,Deep clustering: Discriminative embeddings for segmentation and separation
Object detection,180,Vision Transformers for Dense Prediction
Object detection,181,Hypersim: A Photorealistic Synthetic Dataset for Holistic Indoor Scene Understanding
Object detection,182,Panoptic nuScenes: A Large-Scale Benchmark for LiDAR Panoptic Segmentation and Tracking
Object detection,183,ADVENT: Adversarial Entropy Minimization for Domain Adaptation in Semantic Segmentation
Object detection,184,Maximum Classifier Discrepancy for Unsupervised Domain Adaptation
Object detection,185,CyCADA: Cycle-Consistent Adversarial Domain Adaptation
Object detection,186,Boundary-Aware Segmentation Network for Mobile and Web Applications
Object detection,187,Bayesian SegNet: Model Uncertainty in Deep Convolutional Encoder-Decoder Architectures for Scene Understanding
Object detection,188,Retina U-Net: Embarrassingly Simple Exploitation of Segmentation Supervision for Medical Object Detection
Object detection,189,Dynamic Graph CNN for Learning on Point Clouds
Object detection,190,Partial Convolution based Padding
Object detection,191,Cascade R-CNN: High Quality Object Detection and Instance Segmentation
Object detection,192,TernausNet: U-Net with VGG11 Encoder Pre-Trained on ImageNet for Image Segmentation
Object detection,193,Deep Snake for Real-Time Instance Segmentation
Object detection,194,Global Context for Convolutional Pose Machines
Object detection,195,GIMP-ML: Python Plugins for using Computer Vision Models in GIMP
Object detection,196,BlenderProc
Object detection,197,Pyramid Vision Transformer: A Versatile Backbone for Dense Prediction without Convolutions
Object detection,198,YolactEdge: Real-time Instance Segmentation on the Edge
Object detection,199,Enforcing temporal consistency in Deep Learning segmentation of brain MR images
Object detection,200,Large Kernel Matters -- Improve Semantic Segmentation by Global Convolutional Network
Object Recognition,1,Naive-Student: Leveraging Semi-Supervised Learning in Video Sequences for Urban Scene Segmentation
Object Recognition,2,Searching for MobileNetV3
Object Recognition,3,FEELVOS: Fast End-to-End Embedding Learning for Video Object Segmentation
Object Recognition,4,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation
Object Recognition,5,Searching for Efficient Multi-Scale Architectures for Dense Image Prediction
Object Recognition,6,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation
Object Recognition,7,MobileNetV2: Inverted Residuals and Linear Bottlenecks
Object Recognition,8,Rethinking Atrous Convolution for Semantic Image Segmentation
Object Recognition,9,Mask R-CNN
Object Recognition,10,Pyramid Scene Parsing Network
Object Recognition,11,"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs"
Object Recognition,12,Deep Residual Learning for Image Recognition
Object Recognition,13,ParseNet: Looking Wider to See Better
Object Recognition,14,Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs
Object Recognition,15,The surprising impact of mask-head architecture on novel class segmentation
Object Recognition,16,BEiT: BERT Pre-Training of Image Transformers
Object Recognition,17,SegFormer: Simple and Efficient Design for Semantic Segmentation with Transformers
Object Recognition,18,Learning to Segment Every Thing
Object Recognition,19,PointRend: Image Segmentation as Rendering
Object Recognition,20,TensorMask: A Foundation for Dense Object Segmentation
Object Recognition,21,Panoptic Feature Pyramid Networks
Object Recognition,22,Panoptic-DeepLab
Object Recognition,23,Pointly-Supervised Instance Segmentation
Object Recognition,24,Path Aggregation Network for Instance Segmentation
Object Recognition,25,Seesaw Loss for Long-Tailed Instance Segmentation
Object Recognition,26,FCOS: A simple and strong anchor-free object detector
Object Recognition,27,DetectoRS: Detecting Objects with Recursive Feature Pyramid and Switchable Atrous Convolution
Object Recognition,28,A novel Region of Interest Extraction Layer for Instance Segmentation
Object Recognition,29,ResNeSt: Split-Attention Networks
Object Recognition,30,CentripetalNet: Pursuing High-quality Keypoint Pairs for Object Detection
Object Recognition,31,CBNet: A Novel Composite Backbone Network Architecture for Object Detection
Object Recognition,32,Deep High-Resolution Representation Learning for Visual Recognition
Object Recognition,33,MMDetection: Open MMLab Detection Toolbox and Benchmark
Object Recognition,34,CARAFE: Content-Aware ReAssembly of FEatures
Object Recognition,35,YOLACT: Real-time Instance Segmentation
Object Recognition,36,Mask Scoring R-CNN
Object Recognition,37,Hybrid Task Cascade for Instance Segmentation
Object Recognition,38,"Deformable ConvNets v2: More Deformable, Better Results"
Object Recognition,39,"How to train your ViT? Data, Augmentation, and Regularization in Vision Transformers"
Object Recognition,40,XCiT: Cross-Covariance Image Transformers
Object Recognition,41,Twins: Revisiting the Design of Spatial Attention in Vision Transformers
Object Recognition,42,Co-Scale Conv-Attentional Image Transformers
Object Recognition,43,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows
Object Recognition,44,Scaling Local Self-Attention for Parameter Efficient Visual Backbones
Object Recognition,45,LambdaNetworks: Modeling Long-Range Interactions Without Attention
Object Recognition,46,RepVGG: Making VGG-style ConvNets Great Again
Object Recognition,47,Evolving Normalization-Activation Layers
Object Recognition,48,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks
Object Recognition,49,Bag of Tricks for Image Classification with Convolutional Neural Networks
Object Recognition,50,Fully Convolutional Networks for Semantic Segmentation
Object Recognition,51,FDA: Fourier Domain Adaptation for Semantic Segmentation
Object Recognition,52,Unsupervised Learning of Object Keypoints for Perception and Control
Object Recognition,53,Is Heuristic Sampling Necessary in Training Deep Object Detectors?
Object Recognition,54,Video-to-Video Synthesis
Object Recognition,55,Emerging Properties in Self-Supervised Vision Transformers
Object Recognition,56,Rethinking ImageNet Pre-training
Object Recognition,57,Learning Strict Identity Mappings in Deep Residual Networks
Object Recognition,58,Self-Supervised Learning with Swin Transformers
Object Recognition,59,High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs
Object Recognition,60,Micro-Batch Training with Batch-Channel Normalization and Weight Standardization
Object Recognition,61,U-Net: Convolutional Networks for Biomedical Image Segmentation
Object Recognition,62,Lite-HRNet: A Lightweight High-Resolution Network
Object Recognition,63,PaddleSeg: A High-Efficient Development Toolkit for Image Segmentation
Object Recognition,64,Attention-guided Context Feature Pyramid Network for Object Detection
Object Recognition,65,SOLOv2: Dynamic and Fast Instance Segmentation
Object Recognition,66,SOLO: Segmenting Objects by Locations
Object Recognition,67,HarDNet: A Low Memory Traffic Network
Object Recognition,68,High-Resolution Representations for Labeling Pixels and Regions
Object Recognition,69,FCOS: Fully Convolutional One-Stage Object Detection
Object Recognition,70,Microsoft COCO: Common Objects in Context
Object Recognition,71,Simple Training Strategies and Model Scaling for Object Detection
Object Recognition,72,Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation
Object Recognition,73,Rethinking Pre-training and Self-training
Object Recognition,74,"Fashionpedia: Ontology, Segmentation, and an Attribute Localization Dataset"
Object Recognition,75,ShapeMask: Learning to Segment Novel Objects by Refining Shape Priors
Object Recognition,76,UNet++: A Nested U-Net Architecture for Medical Image Segmentation
Object Recognition,77,Recalibrating Fully Convolutional Networks with Spatial and Channel 'Squeeze & Excitation' Blocks
Object Recognition,78,Unified Perceptual Parsing for Scene Understanding
Object Recognition,79,Semantic Understanding of Scenes through the ADE20K Dataset
Object Recognition,80,YOLACT++: Better Real-time Instance Segmentation
Object Recognition,81,Deformable Convolutional Networks
Object Recognition,82,LinkNet: Exploiting Encoder Representations for Efficient Semantic Segmentation
Object Recognition,83,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation
Object Recognition,84,Learning to Refine Object Segments
Object Recognition,85,Tencent ML-Images: A Large-Scale Multi-Label Image Database for Visual Representation Learning
Object Recognition,86,Revisiting Unreasonable Effectiveness of Data in Deep Learning Era
Object Recognition,87,EdgeFlow: Achieving Practical Interactive Segmentation with Edge-Guided Flow
Object Recognition,88,Rethinking BiSeNet For Real-time Semantic Segmentation
Object Recognition,89,Rethinking Semantic Segmentation from a Sequence-to-Sequence Perspective with Transformers
Object Recognition,90,Improving Semantic Segmentation via Decoupled Body and Edge Supervision
Object Recognition,91,Disentangled Non-Local Neural Networks
Object Recognition,92,Hierarchical Multi-Scale Attention for Semantic Segmentation
Object Recognition,93,UNet 3+: A Full-Scale Connected UNet for Medical Image Segmentation
Object Recognition,94,BiSeNet V2: Bilateral Network with Guided Aggregation for Real-time Semantic Segmentation
Object Recognition,95,"Panoptic-DeepLab: A Simple, Strong, and Fast Baseline for Bottom-Up Panoptic Segmentation"
Object Recognition,96,Segmentation Transformer: Object-Contextual Representations for Semantic Segmentation
Object Recognition,97,Asymmetric Non-local Neural Networks for Semantic Segmentation
Object Recognition,98,Expectation-Maximization Attention Networks for Semantic Segmentation
Object Recognition,99,Interlaced Sparse Self-Attention for Semantic Segmentation
Object Recognition,100,Gated-SCNN: Gated Shape CNNs for Semantic Segmentation
Object Recognition,101,Fast-SCNN: Fast Semantic Segmentation Network
Object Recognition,102,Dual Attention Network for Scene Segmentation
Object Recognition,103,Attention U-Net: Learning Where to Look for the Pancreas
Object Recognition,104,CCNet: Criss-Cross Attention for Semantic Segmentation
Object Recognition,105,OCNet: Object Context Network for Scene Parsing
Object Recognition,106,PSANet: Point-wise Spatial Attention Network for Scene Parsing
Object Recognition,107,Context Encoding for Semantic Segmentation
Object Recognition,108,Efficient Attention: Attention with Linear Complexities
Object Recognition,109,PP-LCNet: A Lightweight CPU Convolutional Neural Network
Object Recognition,110,Beyond Self-Supervision: A Simple Yet Effective Network Distillation Alternative to Improve Backbones
Object Recognition,111,HS-ResNet: Hierarchical-Split Block on Convolutional Neural Network
Object Recognition,112,Rethinking Channel Dimensions for Efficient Model Design
Object Recognition,113,GridMask Data Augmentation
Object Recognition,114,Hide-and-Seek: A Data Augmentation Technique for Weakly-Supervised Localization and Beyond
Object Recognition,115,Recovering Realistic Texture in Image Super-resolution by Deep Spatial Feature Transform
Object Recognition,116,BoxInst: High-Performance Instance Segmentation with Box Annotations
Object Recognition,117,Mask Encoding for Single Shot Instance Segmentation
Object Recognition,118,Conditional Convolutions for Instance Segmentation
Object Recognition,119,BlendMask: Top-Down Meets Bottom-Up for Instance Segmentation
Object Recognition,120,Segmentation Loss Odyssey
Object Recognition,121,UNETR: Transformers for 3D Medical Image Segmentation
Object Recognition,122,Contextual Transformer Networks for Visual Recognition
Object Recognition,123,EPSANet: An Efficient Pyramid Squeeze Attention Block on Convolutional Neural Network
Object Recognition,124,RepMLP: Re-parameterizing Convolutions into Fully-connected Layers for Image Recognition
Object Recognition,125,Beyond Self-attention: External Attention using Two Linear Layers for Visual Tasks
Object Recognition,126,SA-Net: Shuffle Attention for Deep Convolutional Neural Networks
Object Recognition,127,SEN12MS -- A Curated Dataset of Georeferenced Multi-Spectral Sentinel-1/2 Imagery for Deep Learning and Data Fusion
Object Recognition,128,Improving Convolutional Networks With Self-Calibrated Convolutions
Object Recognition,129,SINet: Extreme Lightweight Portrait Segmentation Networks with Spatial Squeeze Modules and Information Blocking Decoder
Object Recognition,130,Feature Pyramid Encoding Network for Real-time Semantic Segmentation
Object Recognition,131,DABNet: Depth-wise Asymmetric Bottleneck for Real-time Semantic Segmentation
Object Recognition,132,ESNet: An Efficient Symmetric Network for Real-time Semantic Segmentation
Object Recognition,133,DiCENet: Dimension-wise Convolutions for Efficient Networks
Object Recognition,134,LEDNet: A Lightweight Encoder-Decoder Network for Real-Time Semantic Segmentation
Object Recognition,135,An Energy and GPU-Computation Efficient Backbone Network for Real-Time Object Detection
Object Recognition,136,"ESPNetv2: A Light-weight, Power Efficient, and General Purpose Convolutional Neural Network"
Object Recognition,137,CGNet: A Light-weight Context Guided Network for Semantic Segmentation
Object Recognition,138,Efficient Dense Modules of Asymmetric Convolution for Real-Time Semantic Segmentation
Object Recognition,139,BiSeNet: Bilateral Segmentation Network for Real-time Semantic Segmentation
Object Recognition,140,ContextNet: Exploring Context and Detail for Semantic Segmentation in Real-time
Object Recognition,141,ERFNet: Efficient Residual Factorized ConvNet for Real-time Semantic Segmentation
Object Recognition,142,Dilated Residual Networks
Object Recognition,143,ICNet for Real-Time Semantic Segmentation on High-Resolution Images
Object Recognition,144,ENet: A Deep Neural Network Architecture for Real-Time Semantic Segmentation
Object Recognition,145,SegNet: A Deep Convolutional Encoder-Decoder Architecture for Image Segmentation
Object Recognition,146,Fully Convolutional Instance-aware Semantic Segmentation
Object Recognition,147,Rich feature hierarchies for accurate object detection and semantic segmentation
Object Recognition,148,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space
Object Recognition,149,Automated Design of Deep Learning Methods for Biomedical Image Segmentation
Object Recognition,150,COCO-Stuff: Thing and Stuff Classes in Context
Object Recognition,151,Co-Occurrent Features in Semantic Segmentation
Object Recognition,152,Generating Masks from Boxes by Mining Spatio-Temporal Consistencies in Videos
Object Recognition,153,Learning What to Learn for Video Object Segmentation
Object Recognition,154,Towards End-to-End Lane Detection: an Instance Segmentation Approach
Object Recognition,155,"DeepFashion2: A Versatile Benchmark for Detection, Pose Estimation, Segmentation and Re-Identification of Clothing Images"
Object Recognition,156,Recurrent Residual Convolutional Neural Network based on U-Net (R2U-Net) for Medical Image Segmentation
Object Recognition,157,Temporal RoI Align for Video Object Recognition
Object Recognition,158,Polarized Self-Attention: Towards High-quality Pixel-wise Regression
Object Recognition,159,VOLO: Vision Outlooker for Visual Recognition
Object Recognition,160,3D Semantic Segmentation with Submanifold Sparse Convolutional Networks
Object Recognition,161,UNet++: Redesigning Skip Connections to Exploit Multiscale Features in Image Segmentation
Object Recognition,162,ChainerCV: a Library for Deep Learning in Computer Vision
Object Recognition,163,Atlas: End-to-End 3D Scene Reconstruction from Posed Images
Object Recognition,164,What Makes for Good Views for Contrastive Learning?
Object Recognition,165,Improving Semantic Segmentation via Video Propagation and Label Relaxation
Object Recognition,166,4D Spatio-Temporal ConvNets: Minkowski Convolutional Neural Networks
Object Recognition,167,Rethinking Self-supervised Correspondence Learning: A Video Frame-level Similarity Perspective
Object Recognition,168,Learning a Discriminative Feature Network for Semantic Segmentation
Object Recognition,169,Conditional Random Fields as Recurrent Neural Networks
Object Recognition,170,Understanding Humans in Crowded Scenes: Deep Nested Adversarial Learning and A New Benchmark for Multi-Human Parsing
Object Recognition,171,Pose2Seg: Detection Free Human Instance Segmentation
Object Recognition,172,DLTK: State of the Art Reference Implementations for Deep Learning on Medical Images
Object Recognition,173,The Lovász-Softmax loss: A tractable surrogate for the optimization of the intersection-over-union measure in neural networks
Object Recognition,174,Optimal Transport for Multi-source Domain Adaptation under Target Shift
Object Recognition,175,PartNet: A Large-scale Benchmark for Fine-grained and Hierarchical Part-level 3D Object Understanding
Object Recognition,176,PointCNN: Convolution On X-Transformed Points
Object Recognition,177,In-Place Activated BatchNorm for Memory-Optimized Training of DNNs
Object Recognition,178,Autonomous Driving in Reality with Reinforcement Learning and Image Translation
Object Recognition,179,Deep clustering: Discriminative embeddings for segmentation and separation
Object Recognition,180,Vision Transformers for Dense Prediction
Object Recognition,181,Hypersim: A Photorealistic Synthetic Dataset for Holistic Indoor Scene Understanding
Object Recognition,182,Panoptic nuScenes: A Large-Scale Benchmark for LiDAR Panoptic Segmentation and Tracking
Object Recognition,183,ADVENT: Adversarial Entropy Minimization for Domain Adaptation in Semantic Segmentation
Object Recognition,184,Maximum Classifier Discrepancy for Unsupervised Domain Adaptation
Object Recognition,185,CyCADA: Cycle-Consistent Adversarial Domain Adaptation
Object Recognition,186,Boundary-Aware Segmentation Network for Mobile and Web Applications
Object Recognition,187,Bayesian SegNet: Model Uncertainty in Deep Convolutional Encoder-Decoder Architectures for Scene Understanding
Object Recognition,188,Retina U-Net: Embarrassingly Simple Exploitation of Segmentation Supervision for Medical Object Detection
Object Recognition,189,Dynamic Graph CNN for Learning on Point Clouds
Object Recognition,190,Partial Convolution based Padding
Object Recognition,191,Cascade R-CNN: High Quality Object Detection and Instance Segmentation
Object Recognition,192,TernausNet: U-Net with VGG11 Encoder Pre-Trained on ImageNet for Image Segmentation
Object Recognition,193,Deep Snake for Real-Time Instance Segmentation
Object Recognition,194,Global Context for Convolutional Pose Machines
Object Recognition,195,GIMP-ML: Python Plugins for using Computer Vision Models in GIMP
Object Recognition,196,BlenderProc
Object Recognition,197,Pyramid Vision Transformer: A Versatile Backbone for Dense Prediction without Convolutions
Object Recognition,198,YolactEdge: Real-time Instance Segmentation on the Edge
Object Recognition,199,Enforcing temporal consistency in Deep Learning segmentation of brain MR images
Object Recognition,200,Large Kernel Matters -- Improve Semantic Segmentation by Global Convolutional Network
Domain adaptation,1,Naive-Student: Leveraging Semi-Supervised Learning in Video Sequences for Urban Scene Segmentation
Domain adaptation,2,Searching for MobileNetV3
Domain adaptation,3,FEELVOS: Fast End-to-End Embedding Learning for Video Object Segmentation
Domain adaptation,4,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation
Domain adaptation,5,Searching for Efficient Multi-Scale Architectures for Dense Image Prediction
Domain adaptation,6,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation
Domain adaptation,7,MobileNetV2: Inverted Residuals and Linear Bottlenecks
Domain adaptation,8,Rethinking Atrous Convolution for Semantic Image Segmentation
Domain adaptation,9,Mask R-CNN
Domain adaptation,10,Pyramid Scene Parsing Network
Domain adaptation,11,"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs"
Domain adaptation,12,Deep Residual Learning for Image Recognition
Domain adaptation,13,ParseNet: Looking Wider to See Better
Domain adaptation,14,Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs
Domain adaptation,15,The surprising impact of mask-head architecture on novel class segmentation
Domain adaptation,16,BEiT: BERT Pre-Training of Image Transformers
Domain adaptation,17,SegFormer: Simple and Efficient Design for Semantic Segmentation with Transformers
Domain adaptation,18,Learning to Segment Every Thing
Domain adaptation,19,PointRend: Image Segmentation as Rendering
Domain adaptation,20,TensorMask: A Foundation for Dense Object Segmentation
Domain adaptation,21,Panoptic Feature Pyramid Networks
Domain adaptation,22,Panoptic-DeepLab
Domain adaptation,23,Pointly-Supervised Instance Segmentation
Domain adaptation,24,Path Aggregation Network for Instance Segmentation
Domain adaptation,25,Seesaw Loss for Long-Tailed Instance Segmentation
Domain adaptation,26,FCOS: A simple and strong anchor-free object detector
Domain adaptation,27,DetectoRS: Detecting Objects with Recursive Feature Pyramid and Switchable Atrous Convolution
Domain adaptation,28,A novel Region of Interest Extraction Layer for Instance Segmentation
Domain adaptation,29,ResNeSt: Split-Attention Networks
Domain adaptation,30,CentripetalNet: Pursuing High-quality Keypoint Pairs for Object Detection
Domain adaptation,31,CBNet: A Novel Composite Backbone Network Architecture for Object Detection
Domain adaptation,32,Deep High-Resolution Representation Learning for Visual Recognition
Domain adaptation,33,MMDetection: Open MMLab Detection Toolbox and Benchmark
Domain adaptation,34,CARAFE: Content-Aware ReAssembly of FEatures
Domain adaptation,35,YOLACT: Real-time Instance Segmentation
Domain adaptation,36,Mask Scoring R-CNN
Domain adaptation,37,Hybrid Task Cascade for Instance Segmentation
Domain adaptation,38,"Deformable ConvNets v2: More Deformable, Better Results"
Domain adaptation,39,"How to train your ViT? Data, Augmentation, and Regularization in Vision Transformers"
Domain adaptation,40,XCiT: Cross-Covariance Image Transformers
Domain adaptation,41,Twins: Revisiting the Design of Spatial Attention in Vision Transformers
Domain adaptation,42,Co-Scale Conv-Attentional Image Transformers
Domain adaptation,43,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows
Domain adaptation,44,Scaling Local Self-Attention for Parameter Efficient Visual Backbones
Domain adaptation,45,LambdaNetworks: Modeling Long-Range Interactions Without Attention
Domain adaptation,46,RepVGG: Making VGG-style ConvNets Great Again
Domain adaptation,47,Evolving Normalization-Activation Layers
Domain adaptation,48,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks
Domain adaptation,49,Bag of Tricks for Image Classification with Convolutional Neural Networks
Domain adaptation,50,Fully Convolutional Networks for Semantic Segmentation
Domain adaptation,51,FDA: Fourier Domain Adaptation for Semantic Segmentation
Domain adaptation,52,Unsupervised Learning of Object Keypoints for Perception and Control
Domain adaptation,53,Is Heuristic Sampling Necessary in Training Deep Object Detectors?
Domain adaptation,54,Video-to-Video Synthesis
Domain adaptation,55,Emerging Properties in Self-Supervised Vision Transformers
Domain adaptation,56,Rethinking ImageNet Pre-training
Domain adaptation,57,Learning Strict Identity Mappings in Deep Residual Networks
Domain adaptation,58,Self-Supervised Learning with Swin Transformers
Domain adaptation,59,High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs
Domain adaptation,60,Micro-Batch Training with Batch-Channel Normalization and Weight Standardization
Domain adaptation,61,U-Net: Convolutional Networks for Biomedical Image Segmentation
Domain adaptation,62,Lite-HRNet: A Lightweight High-Resolution Network
Domain adaptation,63,PaddleSeg: A High-Efficient Development Toolkit for Image Segmentation
Domain adaptation,64,Attention-guided Context Feature Pyramid Network for Object Detection
Domain adaptation,65,SOLOv2: Dynamic and Fast Instance Segmentation
Domain adaptation,66,SOLO: Segmenting Objects by Locations
Domain adaptation,67,HarDNet: A Low Memory Traffic Network
Domain adaptation,68,High-Resolution Representations for Labeling Pixels and Regions
Domain adaptation,69,FCOS: Fully Convolutional One-Stage Object Detection
Domain adaptation,70,Microsoft COCO: Common Objects in Context
Domain adaptation,71,Simple Training Strategies and Model Scaling for Object Detection
Domain adaptation,72,Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation
Domain adaptation,73,Rethinking Pre-training and Self-training
Domain adaptation,74,"Fashionpedia: Ontology, Segmentation, and an Attribute Localization Dataset"
Domain adaptation,75,ShapeMask: Learning to Segment Novel Objects by Refining Shape Priors
Domain adaptation,76,UNet++: A Nested U-Net Architecture for Medical Image Segmentation
Domain adaptation,77,Recalibrating Fully Convolutional Networks with Spatial and Channel 'Squeeze & Excitation' Blocks
Domain adaptation,78,Unified Perceptual Parsing for Scene Understanding
Domain adaptation,79,Semantic Understanding of Scenes through the ADE20K Dataset
Domain adaptation,80,YOLACT++: Better Real-time Instance Segmentation
Domain adaptation,81,Deformable Convolutional Networks
Domain adaptation,82,LinkNet: Exploiting Encoder Representations for Efficient Semantic Segmentation
Domain adaptation,83,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation
Domain adaptation,84,Learning to Refine Object Segments
Domain adaptation,85,Tencent ML-Images: A Large-Scale Multi-Label Image Database for Visual Representation Learning
Domain adaptation,86,Revisiting Unreasonable Effectiveness of Data in Deep Learning Era
Domain adaptation,87,EdgeFlow: Achieving Practical Interactive Segmentation with Edge-Guided Flow
Domain adaptation,88,Rethinking BiSeNet For Real-time Semantic Segmentation
Domain adaptation,89,Rethinking Semantic Segmentation from a Sequence-to-Sequence Perspective with Transformers
Domain adaptation,90,Improving Semantic Segmentation via Decoupled Body and Edge Supervision
Domain adaptation,91,Disentangled Non-Local Neural Networks
Domain adaptation,92,Hierarchical Multi-Scale Attention for Semantic Segmentation
Domain adaptation,93,UNet 3+: A Full-Scale Connected UNet for Medical Image Segmentation
Domain adaptation,94,BiSeNet V2: Bilateral Network with Guided Aggregation for Real-time Semantic Segmentation
Domain adaptation,95,"Panoptic-DeepLab: A Simple, Strong, and Fast Baseline for Bottom-Up Panoptic Segmentation"
Domain adaptation,96,Segmentation Transformer: Object-Contextual Representations for Semantic Segmentation
Domain adaptation,97,Asymmetric Non-local Neural Networks for Semantic Segmentation
Domain adaptation,98,Expectation-Maximization Attention Networks for Semantic Segmentation
Domain adaptation,99,Interlaced Sparse Self-Attention for Semantic Segmentation
Domain adaptation,100,Gated-SCNN: Gated Shape CNNs for Semantic Segmentation
Domain adaptation,101,Fast-SCNN: Fast Semantic Segmentation Network
Domain adaptation,102,Dual Attention Network for Scene Segmentation
Domain adaptation,103,Attention U-Net: Learning Where to Look for the Pancreas
Domain adaptation,104,CCNet: Criss-Cross Attention for Semantic Segmentation
Domain adaptation,105,OCNet: Object Context Network for Scene Parsing
Domain adaptation,106,PSANet: Point-wise Spatial Attention Network for Scene Parsing
Domain adaptation,107,Context Encoding for Semantic Segmentation
Domain adaptation,108,Efficient Attention: Attention with Linear Complexities
Domain adaptation,109,PP-LCNet: A Lightweight CPU Convolutional Neural Network
Domain adaptation,110,Beyond Self-Supervision: A Simple Yet Effective Network Distillation Alternative to Improve Backbones
Domain adaptation,111,HS-ResNet: Hierarchical-Split Block on Convolutional Neural Network
Domain adaptation,112,Rethinking Channel Dimensions for Efficient Model Design
Domain adaptation,113,GridMask Data Augmentation
Domain adaptation,114,Hide-and-Seek: A Data Augmentation Technique for Weakly-Supervised Localization and Beyond
Domain adaptation,115,Recovering Realistic Texture in Image Super-resolution by Deep Spatial Feature Transform
Domain adaptation,116,BoxInst: High-Performance Instance Segmentation with Box Annotations
Domain adaptation,117,Mask Encoding for Single Shot Instance Segmentation
Domain adaptation,118,Conditional Convolutions for Instance Segmentation
Domain adaptation,119,BlendMask: Top-Down Meets Bottom-Up for Instance Segmentation
Domain adaptation,120,Segmentation Loss Odyssey
Domain adaptation,121,UNETR: Transformers for 3D Medical Image Segmentation
Domain adaptation,122,Contextual Transformer Networks for Visual Recognition
Domain adaptation,123,EPSANet: An Efficient Pyramid Squeeze Attention Block on Convolutional Neural Network
Domain adaptation,124,Beyond Self-attention: External Attention using Two Linear Layers for Visual Tasks
Domain adaptation,125,RepMLP: Re-parameterizing Convolutions into Fully-connected Layers for Image Recognition
Domain adaptation,126,SA-Net: Shuffle Attention for Deep Convolutional Neural Networks
Domain adaptation,127,SEN12MS -- A Curated Dataset of Georeferenced Multi-Spectral Sentinel-1/2 Imagery for Deep Learning and Data Fusion
Domain adaptation,128,Improving Convolutional Networks With Self-Calibrated Convolutions
Domain adaptation,129,SINet: Extreme Lightweight Portrait Segmentation Networks with Spatial Squeeze Modules and Information Blocking Decoder
Domain adaptation,130,Feature Pyramid Encoding Network for Real-time Semantic Segmentation
Domain adaptation,131,DABNet: Depth-wise Asymmetric Bottleneck for Real-time Semantic Segmentation
